id,round,challenge_level,t1,t2,t3,t4,gscore,tscore,speed,positions,reported_fun,reported_rules,reported_performance,reported_difficulty
HunterJelle-17061142-5earm3,1,4.05,1,0,0,0,19.0,3.8,0.6666666666666666,0.6666666666666666,3,3,5,4
HunterJelle-17061142-5earm3,2,5.0,1,0,0,0,11.0,2.8,1.0,1.0,2,3,3,4
HunterJelle-17061142-5earm3,3,4.05,0,1,0,0,8.0,1.6,0.6666666666666666,0.6666666666666666,2,3,3,5
HunterJelle-17061142-5earm3,4,4.5,1,0,0,0,20.0,4.5,0.6666666666666666,1.0,2,3,4,4
HunterJelle-17061142-5earm3,5,4.05,0,0,1,0,8.0,1.6,0.6666666666666666,0.6666666666666666,2,2,3,3
HunterJelle-17061142-5earm3,6,4.05,0,0,1,0,13.0,2.6,0.6666666666666666,0.6666666666666666,1,1,4,5
HunterJelle-17061142-5earm3,7,4.5,1,0,0,0,20.0,4.5,0.6666666666666666,1.0,3,3,5,5
HunterJelle-17061142-5earm3,8,4.05,0,0,0,1,13.0,2.6,0.6666666666666666,0.6666666666666666,2,3,4,4
HunterJelle-17061142-5earm3,9,4.05,0,0,0,1,19.0,3.8,0.6666666666666666,0.6666666666666666,2,2,2,2
HunterJelle-17061142-5earm3,10,4.05,0,0,0,1,18.0,3.6,0.6666666666666666,0.6666666666666666,2,3,3,3
HunterJelle-17061142-5earm3,11,8.1,1,0,0,1,18.0,7.3,0.6666666666666666,0.6666666666666666,3,1,1,3
forestluke-17061142-ucimb8,1,3.2,1,0,0,0,19.0,3.0,0.3333333333333333,0.3333333333333333,3,3,3,3
forestluke-17061142-ucimb8,2,4.5,0,1,0,0,17.0,3.8,1.0,0.6666666666666666,3,3,4,4
forestluke-17061142-ucimb8,3,8.1,1,1,0,0,17.0,6.9,0.6666666666666666,0.6666666666666666,3,3,4,4
forestluke-17061142-ucimb8,4,3.2,0,0,1,0,3.0,0.5,0.3333333333333333,0.3333333333333333,2,3,4,5
forestluke-17061142-ucimb8,5,3.2,0,0,1,0,16.0,2.6,0.3333333333333333,0.3333333333333333,1,3,2,4
forestluke-17061142-ucimb8,6,3.2,0,0,0,1,18.0,2.9,0.3333333333333333,0.3333333333333333,1,3,3,4
forestluke-17061142-ucimb8,7,12.149999999999999,1,1,0,1,11.0,6.7,0.6666666666666666,0.6666666666666666,3,3,4,5
forestluke-17061142-ucimb8,8,13.5,1,1,0,1,16.0,10.8,1.0,0.6666666666666666,3,3,5,5
forestluke-17061142-ucimb8,9,15.0,1,1,0,1,18.0,13.5,1.0,1.0,3,3,4,2
forestluke-17061142-ucimb8,10,15.0,1,1,0,1,15.0,11.3,1.0,1.0,3,3,5,5
forestluke-17061142-ucimb8,11,15.0,1,1,0,1,15.0,11.3,1.0,1.0,2,3,4,3
forestluke-17061142-ucimb8,12,13.5,1,1,0,1,18.0,12.1,0.6666666666666666,1.0,3,3,3,3
forestluke-17061142-ucimb8,13,13.5,1,1,0,1,17.0,11.5,0.6666666666666666,1.0,3,3,4,3
forestluke-17061142-ucimb8,14,15.0,1,1,0,1,19.0,14.3,1.0,1.0,3,3,1,4
forestluke-17061142-ucimb8,15,13.5,1,1,0,1,18.0,12.1,1.0,0.6666666666666666,2,2,2,4
BrainVu-17061142-eo8kc8,1,3.2,1,0,0,0,19.0,3.0,0.3333333333333333,0.3333333333333333,3,3,4,5
BrainVu-17061142-eo8kc8,2,5.0,0,1,0,0,13.0,3.3,1.0,1.0,2,3,4,4
BrainVu-17061142-eo8kc8,3,5.0,1,0,0,0,19.0,4.8,1.0,1.0,2,3,3,5
BrainVu-17061142-eo8kc8,4,5.0,0,0,1,0,9.0,2.3,1.0,1.0,2,2,3,3
BrainVu-17061142-eo8kc8,5,5.0,0,0,0,1,12,3,1.0,1.0,3,3,4,4
BrainVu-17061142-eo8kc8,6,5.0,0,0,0,1,8,2,1.0,1.0,1,1,2,2
BrainVu-17061142-eo8kc8,7,5.0,0,0,0,1,19.0,4.8,1.0,1.0,1,1,3,4
BrainVu-17061142-eo8kc8,8,5.0,0,0,0,1,18.0,4.5,1.0,1.0,1,3,5,4
BrainVu-17061142-eo8kc8,9,5.0,0,0,0,1,16,4,1.0,1.0,3,3,5,5
BrainVu-17061142-eo8kc8,10,5.0,0,0,0,1,17.0,4.3,1.0,1.0,3,3,5,5
BrainVu-17061142-eo8kc8,11,5.0,0,0,1,0,13.0,3.3,1.0,1.0,2,3,1,1
BrainVu-17061142-eo8kc8,12,20.0,1,1,1,1,3,3,1.0,1.0,2,3,5,5
BrainVu-17061142-eo8kc8,13,5.0,1,0,0,0,19.0,4.8,1.0,1.0,3,3,4,4
BrainVu-17061142-eo8kc8,14,5.0,1,0,0,0,17.0,4.3,1.0,1.0,3,3,4,4
BrainVu-17061142-eo8kc8,15,10.0,1,0,0,1,10,5,1.0,1.0,3,3,2,3
flowerjasmin-17061142-r740q6,1,3.2,1,0,0,0,20.0,3.2,0.3333333333333333,0.3333333333333333,2,3,3,4
flowerjasmin-17061142-r740q6,2,4.05,0,1,0,0,13.0,2.6,0.6666666666666666,0.6666666666666666,2,3,4,5
flowerjasmin-17061142-r740q6,3,3.2,0,0,1,0,10.0,1.6,0.3333333333333333,0.3333333333333333,3,3,4,4
flowerjasmin-17061142-r740q6,4,4.5,1,0,0,0,17.0,3.8,0.6666666666666666,1.0,1,2,3,3
flowerjasmin-17061142-r740q6,5,5.0,1,0,0,0,19.0,4.8,1.0,1.0,1,1,3,4
flowerjasmin-17061142-r740q6,6,4.05,0,1,0,0,19.0,3.8,0.6666666666666666,0.6666666666666666,2,3,4,3
flowerjasmin-17061142-r740q6,7,3.2,0,0,1,0,7.0,1.1,0.3333333333333333,0.3333333333333333,3,2,3,3
flowerjasmin-17061142-r740q6,8,3.6,0,0,0,1,20.0,3.6,0.3333333333333333,0.6666666666666666,3,3,4,4
flowerjasmin-17061142-r740q6,9,5.0,0,0,0,1,19.0,4.8,1.0,1.0,3,3,1,1
flowerjasmin-17061142-r740q6,10,5.0,0,0,0,1,16,4,1.0,1.0,1,3,2,2
flowerjasmin-17061142-r740q6,11,5.0,0,0,0,1,19.0,4.8,1.0,1.0,2,2,3,3
flowerjasmin-17061142-r740q6,12,5.0,0,0,0,1,18.0,4.5,1.0,1.0,2,2,1,3
designmare-17061142-pum4n4,1,4.05,1,0,0,0,16.0,3.2,0.6666666666666666,0.6666666666666666,3,3,3,3
designmare-17061142-pum4n4,2,3.6,0,1,0,0,16.0,2.9,0.3333333333333333,0.6666666666666666,2,3,3,4
designmare-17061142-pum4n4,3,4.05,0,0,1,0,8.0,1.6,0.6666666666666666,0.6666666666666666,2,3,4,5
designmare-17061142-pum4n4,4,7.2,1,0,0,1,11.0,4.0,0.6666666666666666,0.3333333333333333,1,2,3,3
designmare-17061142-pum4n4,5,7.2,1,0,0,1,17.0,6.1,0.6666666666666666,0.3333333333333333,1,3,2,3
designmare-17061142-pum4n4,6,8.1,1,0,0,1,18.0,7.3,0.6666666666666666,0.6666666666666666,1,1,3,5
designmare-17061142-pum4n4,7,9.0,1,0,0,1,16.0,7.2,1.0,0.6666666666666666,3,3,5,5
designmare-17061142-pum4n4,8,5.0,1,0,0,0,17.0,4.3,1.0,1.0,3,3,3,2
designmare-17061142-pum4n4,9,9.0,1,1,0,0,15.0,6.8,1.0,0.6666666666666666,1,3,3,3
designmare-17061142-pum4n4,10,10.0,1,1,0,0,8,4,1.0,1.0,3,3,2,2
designmare-17061142-pum4n4,11,10.0,1,0,0,1,7.0,3.5,1.0,1.0,3,3,3,3
designmare-17061142-pum4n4,12,5.0,0,1,0,0,20,5,1.0,1.0,3,3,2,4
Flower Fenne-17061142-tqz197,1,4.05,1,0,0,0,16.0,3.2,0.6666666666666666,0.6666666666666666,3,3,5,5
Flower Fenne-17061142-tqz197,2,4.05,0,1,0,0,11.0,2.2,0.6666666666666666,0.6666666666666666,2,3,3,4
Flower Fenne-17061142-tqz197,3,4.05,0,0,1,0,7.0,1.4,0.6666666666666666,0.6666666666666666,2,1,2,2
Flower Fenne-17061142-tqz197,4,4.05,0,0,0,1,12.0,2.4,0.6666666666666666,0.6666666666666666,3,3,4,4
Flower Fenne-17061142-tqz197,5,4.5,1,0,0,0,19.0,4.3,1.0,0.6666666666666666,1,1,2,2
Flower Fenne-17061142-tqz197,6,5.0,1,0,0,0,18.0,4.5,1.0,1.0,1,1,2,3
Flower Fenne-17061142-tqz197,7,4.05,0,1,0,0,18.0,3.6,0.6666666666666666,0.6666666666666666,1,1,4,5
Flower Fenne-17061142-tqz197,8,3.2,0,0,1,0,13.0,2.1,0.3333333333333333,0.3333333333333333,3,3,4,4
Flower Fenne-17061142-tqz197,9,4.05,0,0,0,1,19.0,3.8,0.6666666666666666,0.6666666666666666,2,3,1,3
Flower Fenne-17061142-tqz197,10,5.0,0,0,0,1,16,4,1.0,1.0,2,3,4,4
Flower Fenne-17061142-tqz197,11,5.0,0,0,0,1,17.0,4.3,1.0,1.0,2,3,3,3
Flower Fenne-17061142-tqz197,12,5.0,0,0,0,1,18.0,4.5,1.0,1.0,1,1,2,2
Flower Fenne-17061142-tqz197,13,5.0,0,0,0,1,19.0,4.8,1.0,1.0,2,2,1,2
Flower Fenne-17061142-tqz197,14,3.2,1,0,0,0,18.0,2.9,0.3333333333333333,0.3333333333333333,2,3,2,5
flowertara-17061142-k8ch67,1,3.2,1,0,0,0,17.0,2.7,0.3333333333333333,0.3333333333333333,3,3,3,4
flowertara-17061142-k8ch67,2,3.2,0,1,0,0,19.0,3.0,0.3333333333333333,0.3333333333333333,2,3,3,5
flowertara-17061142-k8ch67,3,5.0,0,1,0,0,18.0,4.5,1.0,1.0,2,2,2,2
flowertara-17061142-k8ch67,4,3.2,0,0,1,0,9.0,1.4,0.3333333333333333,0.3333333333333333,3,3,5,5
flowertara-17061142-k8ch67,5,4.0,1,0,0,0,16.0,3.2,1.0,0.3333333333333333,1,1,3,3
flowertara-17061142-k8ch67,6,3.2,0,0,1,0,9.0,1.4,0.3333333333333333,0.3333333333333333,1,1,1,5
flowertara-17061142-k8ch67,7,4.5,1,0,0,0,15.0,3.4,1.0,0.6666666666666666,3,2,4,3
flowertara-17061142-k8ch67,8,4.05,0,0,0,1,16.0,3.2,0.6666666666666666,0.6666666666666666,3,3,3,3
flowertara-17061142-k8ch67,9,5.0,0,0,0,1,18.0,4.5,1.0,1.0,2,3,3,3
flowertara-17061142-k8ch67,10,5.0,0,1,0,0,20,5,1.0,1.0,2,3,3,3
flowertara-17061142-k8ch67,11,5.0,0,1,0,0,20,5,1.0,1.0,3,3,5,5
flowertara-17061142-k8ch67,12,5.0,0,0,0,1,19.0,4.8,1.0,1.0,3,3,1,4
Cyanne-17061142-mlqm79,1,3.2,1,0,0,0,16.0,2.6,0.3333333333333333,0.3333333333333333,2,3,4,4
Cyanne-17061142-mlqm79,2,4.05,0,1,0,0,16.0,3.2,0.6666666666666666,0.6666666666666666,2,2,2,2
Cyanne-17061142-mlqm79,3,5.0,0,1,0,0,19.0,4.8,1.0,1.0,2,1,2,4
Cyanne-17061142-mlqm79,4,4.05,0,0,1,0,13.0,2.6,0.6666666666666666,0.6666666666666666,1,2,3,3
Cyanne-17061142-mlqm79,5,4.05,0,0,1,0,13.0,2.6,0.6666666666666666,0.6666666666666666,1,3,4,5
Cyanne-17061142-mlqm79,6,4.05,0,0,1,0,14.0,2.8,0.6666666666666666,0.6666666666666666,3,3,4,5
Cyanne-17061142-mlqm79,7,4.05,0,0,0,1,15.0,3.0,0.6666666666666666,0.6666666666666666,2,3,3,3
Cyanne-17061142-mlqm79,8,5.0,0,0,0,1,20,5,1.0,1.0,3,3,3,2
Cyanne-17061142-mlqm79,9,5.0,0,0,0,1,20,5,1.0,1.0,2,2,2,2
Cyanne-17061142-mlqm79,10,8.1,1,0,0,1,17.0,6.9,0.6666666666666666,0.6666666666666666,2,1,1,4
Cyanne-17061142-mlqm79,11,8.1,1,0,0,1,16.0,6.5,0.6666666666666666,0.6666666666666666,3,3,2,3
Feela-17061143-oqjcz1,1,3.2,1,0,0,0,17.0,2.7,0.3333333333333333,0.3333333333333333,3,3,4,3
Feela-17061143-oqjcz1,2,3.2,0,1,0,0,14.0,2.2,0.3333333333333333,0.3333333333333333,2,3,3,5
Feela-17061143-oqjcz1,3,5.0,0,1,0,0,18.0,4.5,1.0,1.0,2,1,3,2
Feela-17061143-oqjcz1,4,3.2,0,0,1,0,9.0,1.4,0.3333333333333333,0.3333333333333333,3,3,4,4
Feela-17061143-oqjcz1,5,3.2,0,0,1,0,17.0,2.7,0.3333333333333333,0.3333333333333333,3,2,3,3
Feela-17061143-oqjcz1,6,10.0,0,1,0,1,16,8,1.0,1.0,1,1,1,1
Feela-17061143-oqjcz1,7,5.0,0,1,0,0,20,5,1.0,1.0,2,3,2,3
Feela-17061143-oqjcz1,8,3.6,0,0,0,1,20.0,3.6,0.3333333333333333,0.6666666666666666,1,2,2,2
Feela-17061143-oqjcz1,9,5.0,0,0,0,1,18.0,4.5,1.0,1.0,2,3,1,2
ArrowTuana-17061143-3h7lf2,1,5.0,0,0,1,0,8,2,1.0,1.0,2,3,3,4
ArrowTuana-17061143-3h7lf2,2,4.05,1,0,0,0,18.0,3.6,0.6666666666666666,0.6666666666666666,2,2,4,4
ArrowTuana-17061143-3h7lf2,3,4.05,0,0,0,1,12.0,2.4,0.6666666666666666,0.6666666666666666,3,3,4,3
ArrowTuana-17061143-3h7lf2,4,10.0,1,0,1,0,2,1,1.0,1.0,1,3,3,5
ArrowTuana-17061143-3h7lf2,5,10.0,1,0,1,0,2,1,1.0,1.0,3,3,5,5
ArrowTuana-17061143-3h7lf2,6,4.5,0,0,1,0,11.0,2.5,1.0,0.6666666666666666,3,3,4,2
ArrowTuana-17061143-3h7lf2,7,3.2,1,0,0,0,19.0,3.0,0.3333333333333333,0.3333333333333333,3,2,2,2
ArrowTuana-17061143-3h7lf2,8,3.6,0,0,1,0,7.0,1.3,0.3333333333333333,0.6666666666666666,3,3,4,5
ArrowTuana-17061143-3h7lf2,9,3.6,0,1,0,0,13.0,2.3,0.6666666666666666,0.3333333333333333,2,1,1,1
Castlechristopher-17061143-8q9174,1,3.6,1,0,0,0,19.0,3.4,0.3333333333333333,0.6666666666666666,3,3,2,5
Castlechristopher-17061143-8q9174,2,4.5,1,0,0,0,17.0,3.8,1.0,0.6666666666666666,2,3,3,4
Castlechristopher-17061143-8q9174,3,5.0,0,1,0,0,19.0,4.8,1.0,1.0,3,3,4,4
Castlechristopher-17061143-8q9174,4,5.0,0,1,0,0,19.0,4.8,1.0,1.0,3,3,5,4
Castlechristopher-17061143-8q9174,5,5.0,1,0,0,0,7.0,1.8,1.0,1.0,1,2,3,3
Castlechristopher-17061143-8q9174,6,4.0,1,0,0,0,20,4,1.0,0.3333333333333333,3,2,4,3
Castlechristopher-17061143-8q9174,7,5.0,1,0,0,0,13.0,3.3,1.0,1.0,2,3,4,4
Castlechristopher-17061143-8q9174,8,5.0,0,1,0,0,19.0,4.8,1.0,1.0,2,3,5,5
Castlechristopher-17061143-8q9174,9,5.0,0,1,0,0,20,5,1.0,1.0,3,3,5,5
Apple Andres-17061144-50aa12,1,3.2,1,0,0,0,17.0,2.7,0.3333333333333333,0.3333333333333333,2,3,3,5
Apple Andres-17061144-50aa12,2,4.05,0,1,0,0,17.0,3.4,0.6666666666666666,0.6666666666666666,2,2,3,2
Apple Andres-17061144-50aa12,3,4.05,0,1,0,0,12.0,2.4,0.6666666666666666,0.6666666666666666,1,3,3,3
Apple Andres-17061144-50aa12,4,8.1,0,0,1,1,11.0,4.5,0.6666666666666666,0.6666666666666666,1,3,3,3
Apple Andres-17061144-50aa12,5,4.05,1,0,0,0,16.0,3.2,0.6666666666666666,0.6666666666666666,2,3,3,4
Apple Andres-17061144-50aa12,6,5.0,1,0,0,0,18.0,4.5,1.0,1.0,1,1,1,1
Apple Andres-17061144-50aa12,7,5.0,0,1,0,0,16,4,1.0,1.0,3,3,4,3
Apple Andres-17061144-50aa12,8,5.0,0,0,0,1,10.0,2.5,1.0,1.0,3,3,3,3
Apple Andres-17061144-50aa12,9,5.0,1,0,0,0,16,4,1.0,1.0,2,3,3,4
Apple Andres-17061144-50aa12,10,5.0,1,0,0,0,11.0,2.8,1.0,1.0,2,1,1,3
chaymab-17061413-8weyg6,1,3.6,0,1,0,0,12.0,2.2,0.3333333333333333,0.6666666666666666,3,3,4,3
chaymab-17061413-8weyg6,2,3.6,1,0,0,0,15.0,2.7,0.6666666666666666,0.3333333333333333,3,3,4,3
chaymab-17061413-8weyg6,3,4.05,0,0,0,1,15.0,3.0,0.6666666666666666,0.6666666666666666,1,3,3,2
chaymab-17061413-8weyg6,4,4.05,0,1,0,0,18.0,3.6,0.6666666666666666,0.6666666666666666,3,3,4,4
chaymab-17061413-8weyg6,5,3.2,0,0,0,1,8.0,1.3,0.3333333333333333,0.3333333333333333,3,3,4,5
chaymab-17061413-8weyg6,6,3.6,0,0,0,1,17.0,3.1,0.3333333333333333,0.6666666666666666,3,3,4,4
